"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3114.96890413897
"2","member","Sunday",338.488629001445
"3","casual","Monday",3476.37274190664
"4","member","Monday",237.815810920945
"5","casual","Tuesday",3201.64136233073
"6","member","Tuesday",174.804257114726
"7","casual","Wednesday",2864.55136540962
"8","member","Wednesday",122.616528030713
"9","casual","Thursday",7165.24415838813
"10","member","Thursday",135.199795572875
"11","casual","Friday",5076.30101085736
"12","member","Friday",248.318977493748
"13","casual","Saturday",3499.26519706079
"14","member","Saturday",475.471698113208
